date,RECORD,SerNo,O3_Avg,T_int,Flow_Avg,Cell_Pres_Avg,T_Air,T_inst,O3_Status,Fan_Status,Zero_Status,V_Batt,Met_Diag_Flags
9/14/16 1:00,,2,33.85,7.975,2131.5,588.775,8.15,13.175,,0,0,12.5375,
9/14/16 2:00,,2,33.725,7.85,2124.5,588.9,7.6,13.125,,0,0,12.5075,
9/14/16 3:00,,2,32.175,7.2,2107.5,589.35,7.175,12.525,,0,0,12.475,
9/14/16 4:00,,2,30.9,6.925,2083.75,590.2,7.075,12.275,,0,0,12.435,
9/14/16 5:00,,2,30.675,7,2070.75,590.9,6.9,12.375,,0,0,12.3925,
9/14/16 6:00,,2,30.5,7.05,2061.5,591.475,6.925,12.4,,0,0,12.375,
9/14/16 7:00,,2,29.975,7.375,2071.75,591.3,6.975,12.75,,0,0,12.3975,
9/14/16 8:00,,2,29.225,7.9,2112.5,589.95,7.225,13.225,,0,0,12.5225,
9/14/16 9:00,,2,27.95,8.475,2126.75,589.575,7.475,13.9,,0,0,12.74,
9/14/16 10:00,,2,28,10.8,2536.25,577.1,9.8,16.175,,0,0,13.64,
9/14/16 11:00,,2,28.7,14.75,2853,567.35,11.375,20.375,,0,0,15.745,
9/14/16 12:00,,2,26.25,17.65,2975.75,565.05,13.15,23.85,,0,0,14.5075,
9/14/16 13:00,,2,30.1,18.4,2983.75,565.875,12.275,25.325,,0,0,14.9025,
9/14/16 14:00,,2,35.9,17.35,2963.5,566.475,11.8,24.65,,0,0,14.165,
9/14/16 15:00,,2,37.4,16.15,2890.75,567.65,12.55,23.2,,0,0,14.1175,
9/14/16 16:00,,2,,18.25,,,12.575,25.5,,0,0,13.9875,
9/14/16 17:00,,2,38.8,15.1,2530,580.1667,9.6,23.15,,0,0,12.985,
9/14/16 18:00,,2,44.55,11.375,2393.75,582.525,8.6,18.775,,0,0,12.7725,
9/14/16 19:00,,2,48.25,9.375,2305.5,584.1,7.675,16.05,,0,0,12.735,
9/14/16 20:00,,2,49.1,8.4,2245.5,585.225,7.85,14.6,,0,0,12.7,
9/14/16 21:00,,2,50.075,7.55,2200.75,585.675,7.525,13.475,,0,0,12.66,
9/14/16 22:00,,2,51.975,7.125,2171.5,586.225,7.275,12.825,,0,0,12.635,
9/14/16 23:00,,2,52.75,6.875,2148,586.675,6.875,12.4,,0,0,12.605,
9/15/16 0:00,,2,50.925,6.1,2126,587.475,5.85,11.8,,0,0,12.5775,
9/15/16 1:00,,2,51.1,5.35,2102,587.825,6.15,11.225,,0,0,12.55,
9/15/16 2:00,,2,49.25,4.7,2077.75,588.375,5.875,10.45,,0,0,12.515,
9/15/16 3:00,,2,49.4,3.325,2047.75,589.35,4.4,9.45,,0,0,12.485,
9/15/16 4:00,,2,48.525,1.025,1991.75,590.725,3.625,7.55,,0,0,12.445,
9/15/16 5:00,,2,49.725,0.075,1940,592,3.525,6.25,,0,0,12.4025,
