timestamp,temperature[degC],humidity[%],no2[ppb],o3[ppb],no2_we[V],no2_aux[V],o3[V],latitude[deg],longitude[deg],altitude[m]
08/03/2016 07:21:15,---,---,0,0,0.126596,0.233219,-0.82629,---,---,---
08/03/2016 07:21:20,19.6,62.13,0,0,0.127023,0.233208,-0.826292,---,---,---
08/03/2016 07:21:24,19.6,62.11,---,---,---,---,---,---,---,---
08/03/2016 07:21:25,---,---,0,0,0.127376,0.233202,-0.826294,---,---,---
08/03/2016 07:21:30,19.6,62.09,0,0,0.127713,0.233232,-0.826305,---,---,---
08/03/2016 07:21:34,19.61,62.07,---,---,---,---,---,---,---,---
08/03/2016 07:21:35,---,---,0,0,0.128023,0.233273,-0.826316,---,---,---
08/03/2016 07:21:39,19.61,62.05,---,---,---,---,---,---,---,---
08/03/2016 07:21:40,---,---,0,0,0.128423,0.233279,-0.826321,---,---,---
08/03/2016 07:21:44,19.61,62.03,---,---,---,---,---,---,---,---
08/03/2016 07:21:45,---,---,0,0,0.128784,0.233302,-0.826325,---,---,---
08/03/2016 07:21:49,19.62,62.01,---,---,---,---,---,---,---,---
08/03/2016 07:21:50,---,---,0,0,0.129093,0.233301,-0.826328,---,---,---
08/03/2016 07:21:54,19.62,61.98,---,---,---,---,---,---,---,---
08/03/2016 07:21:55,---,---,0,0,0.12943,0.233298,-0.826323,---,---,---
08/03/2016 07:21:59,19.63,61.96,---,---,---,---,---,---,---,---
08/03/2016 07:22:00,---,---,0,0,0.129757,0.233319,-0.82633,---,---,---
08/03/2016 07:22:04,19.63,---,---,---,---,---,---,---,---,---
08/03/2016 07:22:05,---,61.94,0,0,0.130049,0.233302,-0.82633,---,---,---
08/03/2016 07:22:09,19.63,61.92,---,---,---,---,---,---,---,---
08/03/2016 07:22:10,---,---,0,0,0.130381,0.233281,-0.826332,---,---,---
08/03/2016 07:22:14,19.64,61.9,---,---,---,---,---,---,---,---
08/03/2016 07:22:15,---,---,0,0,0.130722,0.233283,-0.826334,---,---,---
08/03/2016 07:22:19,19.64,61.88,---,---,---,---,---,---,---,---
08/03/2016 07:22:20,---,---,0,0,0.131041,0.233309,-0.826333,---,---,---
08/03/2016 07:22:24,19.64,61.86,---,---,---,---,---,---,---,---
08/03/2016 07:22:25,---,---,0,0,0.131451,0.233287,-0.826334,---,---,---
08/03/2016 07:22:29,19.65,61.85,---,---,---,---,---,---,---,---
08/03/2016 07:22:30,---,---,0,0,0.131793,0.233319,-0.826336,---,---,---
08/03/2016 07:22:35,19.65,61.83,0,0,0.132173,0.233326,-0.82634,---,---,---
08/03/2016 07:22:39,19.65,---,---,---,---,---,---,---,---,---
08/03/2016 07:22:40,---,61.81,0,0,0.132554,0.233326,-0.826343,---,---,---
08/03/2016 07:22:44,19.66,---,---,---,---,---,---,---,---,---
08/03/2016 07:22:45,---,61.79,0,0,0.132911,0.233317,-0.826342,---,---,---
08/03/2016 07:22:49,19.66,---,---,---,---,---,---,---,---,---
08/03/2016 07:22:50,---,61.77,0,0,0.1332,0.233324,-0.826342,---,---,---
08/03/2016 07:22:54,19.67,---,---,---,---,---,---,---,---,---
08/03/2016 07:22:55,---,61.76,0,0,0.133509,0.233323,-0.826339,---,---,---
08/03/2016 07:23:01,19.67,61.75,0,0,0.13382,0.233333,-0.826341,---,---,---
08/03/2016 07:23:04,19.67,---,---,---,---,---,---,---,---,---
08/03/2016 07:23:05,---,61.74,0,0,0.134153,0.233331,-0.826343,---,---,---
08/03/2016 07:23:09,19.68,---,---,---,---,---,---,---,---,---
08/03/2016 07:23:10,---,61.73,0,0,0.134498,0.233353,-0.826347,---,---,---
08/03/2016 07:23:14,19.68,---,---,---,---,---,---,---,---,---
08/03/2016 07:23:15,---,61.72,0,0,0.134802,0.233361,-0.826351,---,---,---
08/03/2016 07:23:19,19.68,---,---,---,---,---,---,---,---,---
08/03/2016 07:23:20,---,61.71,0,0,0.135131,0.233353,-0.826345,---,---,---
08/03/2016 07:23:24,19.69,---,---,---,---,---,---,---,---,---
08/03/2016 07:23:25,---,61.69,0,0,0.135408,0.233366,-0.826351,---,---,---
08/03/2016 07:23:29,19.69,---,---,---,---,---,---,---,---,---
08/03/2016 07:23:30,---,61.68,0,0,0.135698,0.233364,-0.826354,---,---,---
08/03/2016 07:23:35,19.69,61.66,0,0,0.136009,0.233368,-0.826353,---,---,---
08/03/2016 07:23:39,19.7,---,---,---,---,---,---,---,---,---
08/03/2016 07:23:40,---,61.65,0,0,0.136339,0.233367,-0.826357,---,---,---
08/03/2016 07:23:44,19.7,---,---,---,---,---,---,---,---,---
08/03/2016 07:23:45,---,61.64,0,0,0.136587,0.233392,-0.826359,---,---,---
08/03/2016 07:23:49,19.7,---,---,---,---,---,---,---,---,---
08/03/2016 07:23:50,---,61.63,0,0,0.136872,0.233377,-0.826362,---,---,---
08/03/2016 07:23:54,19.71,---,---,---,---,---,---,---,---,---
08/03/2016 07:23:55,---,61.62,0,0,0.137156,0.233372,-0.826361,---,---,---
08/03/2016 07:23:59,19.71,---,---,---,---,---,---,---,---,---
08/03/2016 07:24:00,---,61.61,0,0,0.137392,0.233383,-0.826363,---,---,---
08/03/2016 07:24:04,19.71,---,---,---,---,---,---,---,---,---
08/03/2016 07:24:05,---,61.6,0,0,0.13769,0.233377,-0.826366,---,---,---
08/03/2016 07:24:09,19.72,---,---,---,---,---,---,---,---,---
08/03/2016 07:24:10,---,61.59,0,0,0.138003,0.233378,-0.826359,---,---,---
08/03/2016 07:24:14,19.72,---,---,---,---,---,---,---,---,---
08/03/2016 07:24:15,---,61.58,0,0,0.138336,0.233373,-0.826357,---,---,---
08/03/2016 07:24:19,19.72,---,---,---,---,---,---,---,---,---
08/03/2016 07:24:20,---,61.57,0,0,0.138561,0.233392,-0.82636,---,---,---
08/03/2016 07:24:24,19.73,---,---,---,---,---,---,---,---,---
08/03/2016 07:24:25,---,61.56,0,0,0.138833,0.233376,-0.826364,---,---,---
08/03/2016 07:24:29,19.73,---,---,---,---,---,---,---,---,---
08/03/2016 07:24:30,---,61.55,0,0,0.139124,0.23337,-0.826366,---,---,---
08/03/2016 07:24:34,19.73,---,---,---,---,---,---,---,---,---
08/03/2016 07:24:36,---,61.55,0,0,0.139388,0.233376,-0.826372,---,---,---
08/03/2016 07:24:40,19.74,61.54,0,0,0.139652,0.233364,-0.826373,---,---,---
08/03/2016 07:24:45,19.74,---,---,---,---,---,---,---,---,---
